期货代码,期货名称,secid,归属交易所
SA203,纯碱203,115.SA203,郑商所
pg2203,LPG2203,114.pg2203,大商所
rb2202,螺纹钢2202,113.rb2202,上期所
al2211,沪铝2211,113.al2211,上期所
rb2112,螺纹钢2112,113.rb2112,上期所
eg2209,乙二醇2209,114.eg2209,大商所
hc2204,热轧卷板2204,113.hc2204,上期所
ZC203,动力煤203,115.ZC203,郑商所
i2209,铁矿石2209,114.i2209,大商所
i2207,铁矿石2207,114.i2207,大商所
hc2210,热轧卷板2210,113.hc2210,上期所
PF209,短纤209,115.PF209,郑商所
FG208,玻璃208,115.FG208,郑商所
jm2204,焦煤2204,114.jm2204,大商所
ss2209,不锈钢2209,113.ss2209,上期所
hc2112,热轧卷板2112,113.hc2112,上期所
MAS,甲醇次主力,115.MAS,郑商所
MA205,甲醇205,115.MA205,郑商所
jm2203,焦煤2203,114.jm2203,大商所
j2112,焦炭2112,114.j2112,大商所
is,铁矿石次主力,114.is,大商所
i2205,铁矿石2205,114.i2205,大商所
ZC204,动力煤204,115.ZC204,郑商所
MA206,甲醇206,115.MA206,郑商所
jm2202,焦煤2202,114.jm2202,大商所
i2208,铁矿石2208,114.i2208,大商所
hc2203,热轧卷板2203,113.hc2203,上期所
ZC202,动力煤202,115.ZC202,郑商所
hc2207,热轧卷板2207,113.hc2207,上期所
eg2208,乙二醇2208,114.eg2208,大商所
egm,乙二醇主力,114.egm,大商所
eg2201,乙二醇2201,114.eg2201,大商所
i2112,铁矿石2112,114.i2112,大商所
jm,焦炭主力,114.jm,大商所
j2201,焦炭2201,114.j2201,大商所
eg2206,乙二醇2206,114.eg2206,大商所
egs,乙二醇次主力,114.egs,大商所
eg2205,乙二醇2205,114.eg2205,大商所
hc2202,热轧卷板2202,113.hc2202,上期所
j2203,焦炭2203,114.j2203,大商所
eg2204,乙二醇2204,114.eg2204,大商所
hc2211,热轧卷板2211,113.hc2211,上期所
eg2203,乙二醇2203,114.eg2203,大商所
j2206,焦炭2206,114.j2206,大商所
hcm,热轧卷板主力,113.hcm,上期所
hc2201,热轧卷板2201,113.hc2201,上期所
j2209,焦炭2209,114.j2209,大商所
js,焦炭次主力,114.js,大商所
j2205,焦炭2205,114.j2205,大商所
eg2202,乙二醇2202,114.eg2202,大商所
SA204,纯碱204,115.SA204,郑商所
jm2209,焦煤2209,114.jm2209,大商所
SA208,纯碱208,115.SA208,郑商所
SAS,纯碱次主力,115.SAS,郑商所
SA205,纯碱205,115.SA205,郑商所
jm2211,焦煤2211,114.jm2211,大商所
SA206,纯碱206,115.SA206,郑商所
j2202,焦炭2202,114.j2202,大商所
SA209,纯碱209,115.SA209,郑商所
SA210,纯碱210,115.SA210,郑商所
SA207,纯碱207,115.SA207,郑商所
jms,焦煤次主力,114.jms,大商所
jm2205,焦煤2205,114.jm2205,大商所
SA211,纯碱211,115.SA211,郑商所
jm2208,焦煤2208,114.jm2208,大商所
TA211,PTA211,115.TA211,郑商所
